stock1,stock2
XEL,AMGN
WBA,AMGN
VRTX,AMGN
REGN,AMGN
PEP,AMGN
MDLZ,AMGN
GILD,AMGN
COST,AMGN
ATVI,AMGN
XEL,ATVI
WBA,ATVI
VRTX,ATVI
REGN,ATVI
PEP,ATVI
MDLZ,ATVI
GILD,ATVI
COST,ATVI
XEL,COST
WBA,COST
VRTX,COST
REGN,COST
PEP,COST
MDLZ,COST
GILD,COST
XEL,GILD
WBA,GILD
VRTX,GILD
REGN,GILD
PEP,GILD
MDLZ,GILD
XEL,MDLZ
WBA,MDLZ
VRTX,MDLZ
REGN,MDLZ
PEP,MDLZ
XEL,PEP
WBA,PEP
VRTX,PEP
REGN,PEP
XEL,REGN
WBA,REGN
VRTX,REGN
XEL,VRTX
WBA,VRTX
XEL,WBA
