Date,AXP,BBY,CAG,EMR,HSY,INCY,MCK,MNST,TGT,WBA,SP500
2013-10-28,82.760002,42.869999,25.058367,67.120003,100.139999,39.43,153.279999,19.5,64.879997,59.41,"1,762.11"
2013-10-29,83.660004,42.919998,25.089495,67.389999,100.900002,40.639998999999996,155.869995,19.51,64.32,59.759997999999996,"1,771.95"
2013-10-30,83.099998,42.73,24.964980999999998,66.900002,99.940002,38.59,156.03999299999998,19.333332000000002,65.709999,59.119999,"1,763.31"
2013-10-31,81.800003,42.799999,24.754864,66.970001,99.239998,39.0,156.33999599999999,19.076667999999998,64.790001,59.240002000000004,"1,756.54"
2013-11-01,82.160004,42.93,24.747082000000002,67.029999,99.209999,40.400002,159.440002,18.896667,64.620003,60.52,"1,761.64"
2013-11-04,81.93,43.279999,24.63035,67.370003,98.849998,40.849998,159.720001,18.9,65.220001,60.150002,"1,767.93"
2013-11-05,81.900002,44.060001,25.338520000000003,66.849998,99.510002,40.0,158.919998,19.173332000000002,64.629997,60.299999,"1,762.97"
2013-11-06,82.120003,41.709998999999996,25.595330999999998,67.410004,99.43,37.5,156.46000700000002,19.276667,65.699997,59.84,"1,770.49"
2013-11-07,80.91999799999999,40.889998999999996,25.182878,66.050003,96.699997,36.970001,156.28999299999998,19.036667,64.82,59.200001,"1,747.15"
2013-11-08,81.779999,42.41,25.400778,66.970001,97.550003,37.560001,158.559998,18.386667000000003,65.110001,59.700001,"1,770.61"
2013-11-11,81.400002,44.330002,25.22179,66.949997,96.809998,39.43,158.899994,18.6,65.690002,59.450001,"1,771.89"
2013-11-12,81.029999,43.77,25.159533,66.300003,96.879997,40.900002,157.889999,18.663334,65.440002,59.48,"1,767.69"
2013-11-13,81.440002,43.990002000000004,25.533073,66.849998,97.82,43.950001,157.889999,19.030001000000002,66.870003,60.59,"1,782.00"
2013-11-14,81.889999,43.330002,25.727627,67.209999,98.650002,45.009997999999996,159.46000700000002,19.24,66.66999799999999,60.119999,"1,790.62"
2013-11-15,82.800003,43.689999,25.680935,67.970001,98.559998,47.509997999999996,160.149994,19.153334,66.889999,60.279999,"1,798.18"
2013-11-18,82.339996,43.560001,25.361867999999998,67.589996,97.5,46.959998999999996,158.779999,19.01,66.449997,60.119999,"1,791.53"
