Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,93.300003,93.419998,91.059998,91.760002,89.666832,2435900
2022-01-04,93.250000,96.269997,92.489998,95.830002,93.643990,4466700
2022-01-05,97.059998,97.989998,95.559998,95.690002,93.507187,4180000
2022-01-06,95.910004,96.889999,95.269997,96.230003,94.034866,2477000
2022-01-07,96.550003,96.970001,95.610001,95.690002,93.507187,2863600
2022-01-10,95.209999,95.610001,94.190002,95.300003,93.126083,2840000
2022-01-11,95.750000,96.589996,94.639999,96.379997,94.181435,2144300
2022-01-12,97.290001,97.730003,96.260002,96.919998,94.709122,2191200
2022-01-13,97.209999,98.300003,96.930000,97.279999,95.060913,2131900
2022-01-14,96.400002,97.580002,95.690002,97.470001,95.246574,2624400
2022-01-18,96.769997,97.139999,95.650002,96.370003,94.171669,2777100
2022-01-19,96.559998,96.940002,94.839996,94.919998,92.754745,2145000
2022-01-20,95.199997,96.300003,93.449997,93.650002,91.513718,2417700
2022-01-21,93.839996,94.709999,92.669998,93.199997,91.073975,3253500
2022-01-24,92.010002,93.419998,89.660004,93.040001,90.917633,4210100
2022-01-25,91.410004,92.050003,89.809998,91.209999,89.129379,3723000
2022-01-26,92.370003,92.860001,89.930000,90.580002,88.513748,4230000
2022-01-27,91.430000,92.739998,89.940002,90.629997,88.562607,2470700
2022-01-28,90.129997,90.769997,88.650002,90.709999,88.640778,2937100
2022-01-31,90.699997,92.089996,89.849998,91.949997,89.852493,3710300
2022-02-01,91.949997,92.559998,91.099998,92.480003,90.370407,4371700
2022-02-02,94.260002,97.760002,94.250000,97.559998,95.334518,4920800
2022-02-03,96.419998,98.480003,96.279999,96.589996,94.386650,3306500
2022-02-04,96.570000,97.129997,94.099998,95.379997,93.204247,4979300
2022-02-07,95.690002,96.360001,94.559998,95.730003,93.546272,4505600
2022-02-08,96.120003,97.669998,95.720001,97.120003,94.904564,4809400
2022-02-09,98.099998,98.629997,97.639999,98.419998,96.174896,3700500
2022-02-10,96.989998,98.839996,96.489998,96.870003,95.158195,4274400
2022-02-11,97.050003,97.910004,94.209999,94.739998,93.065834,3620200
