Date,Open,High,Low,Close,Adj Close,Volume
2013-08-30,63.250000,63.389999,63.139999,63.310001,48.866806,4137000
2013-09-03,63.540001,63.810001,63.380001,63.590000,49.082920,5982700
2013-09-04,63.590000,63.799999,63.439999,63.549999,49.052063,4147900
2013-09-05,63.660000,63.900002,63.459999,63.459999,48.982574,3031900
2013-09-06,63.570000,63.770000,63.090000,63.290001,48.851368,3306400
2013-09-09,63.360001,64.019997,63.349998,63.930000,49.345352,3364200
2013-09-10,64.449997,64.889999,64.199997,64.730003,49.962856,4456400
2013-09-11,64.730003,65.010002,64.550003,64.989998,50.163544,3529300
2013-09-12,65.129997,65.230003,63.660000,64.089996,49.468849,5596800
2013-09-13,64.239998,64.500000,63.680000,63.759998,49.214149,4115300
2013-09-16,64.279999,64.449997,63.709999,63.790001,49.237301,3163300
2013-09-17,63.889999,64.440002,63.889999,64.379997,49.692696,2543000
2013-09-18,64.230003,65.529999,64.209999,65.480003,50.541767,4347100
2013-09-19,65.589996,65.589996,65.000000,65.389999,50.472271,2886700
2013-09-20,65.339996,65.489998,64.550003,64.550003,49.823929,4669700
2013-09-23,64.540001,64.650002,64.169998,64.400002,49.708149,2501100
2013-09-24,64.089996,64.250000,63.790001,63.910000,49.329914,4167100
2013-09-25,63.959999,64.000000,62.790001,63.240002,48.812782,6325900
2013-09-26,63.419998,63.910000,63.150002,63.369999,48.913120,4035200
2013-09-27,63.360001,64.279999,63.290001,63.939999,49.353077,3378300
2013-09-30,63.520000,63.990002,63.380001,63.980000,49.383957,4572300
2013-10-01,63.939999,64.080002,63.669998,63.910000,49.329914,4126100
2013-10-02,63.720001,63.720001,63.200001,63.650002,49.129238,3587600
2013-10-03,63.599998,63.730000,63.099998,63.450001,48.974861,3964700
2013-10-04,63.439999,63.450001,63.090000,63.410000,48.943989,2791400
2013-10-07,63.119999,63.310001,62.660000,62.680000,48.380535,3323700
2013-10-08,62.720001,62.840000,62.029999,62.130001,47.956009,4430300
2013-10-09,62.220001,62.810001,62.130001,62.689999,48.388248,3859500
2013-10-10,63.160000,63.580002,63.009998,63.450001,48.974861,2638300
2013-10-11,63.139999,63.230000,62.450001,63.209999,48.789619,3537700
2013-10-14,62.799999,63.720001,62.799999,63.650002,49.129238,3101400
2013-10-15,63.509998,63.549999,62.889999,62.930000,48.573498,3844500
2013-10-16,63.099998,63.900002,63.080002,63.900002,49.322205,3194500
2013-10-17,63.650002,64.879997,63.570000,64.860001,50.063202,3524200
2013-10-18,65.169998,65.260002,64.419998,64.669998,49.916542,5862100
2013-10-21,64.720001,64.930000,64.169998,64.699997,49.939697,2800800
2013-10-22,64.790001,65.459999,64.459999,65.120003,50.263882,3842500
2013-10-23,65.000000,65.180000,64.239998,64.269997,49.607800,4687400
2013-10-24,64.419998,64.550003,64.000000,64.129997,49.499725,4638000
